38.2	564.75
38.3	564
38.401	563.25
38.499	562.5
38.6	561.75
38.7	561
38.8	561
38.899	559.5
38.999	559.5
39.099	558.75
39.199	558
39.299	556.5
39.399	555.75
39.499	555.75
39.599	554.25
39.699	554.25
39.799	553.5
39.899	552
39.999	552
40.099	551.25
40.199	550.5
40.299	549.75
40.399	549
40.499	548.25
40.599	547.5
40.699	546.75
40.799	546
40.899	545.25
40.999	544.5
41.099	544.5
41.199	543
41.299	543
41.399	541.5
41.499	540.75
41.599	540
41.699	540
41.799	539.25
41.899	538.5
42	537.75
42.099	537
42.199	536.25
42.3	535.5
42.399	534.75
42.499	534
42.6	533.25
42.699	532.5
42.799	531.75
42.899	531
43	530.25
43.099	530.25
43.199	528.75
43.299	528.75
43.399	528
43.499	527.25
43.599	526.5
43.699	525.75
43.799	525
43.899	524.25
43.999	523.5
44.099	522.75
44.199	522.75
44.299	521.25
44.399	521.25
44.499	520.5
44.599	519.75
44.699	519
44.799	518.25
44.899	517.5
44.999	516.75
45.099	516
45.199	516
45.3	514.5
45.399	514.5
45.499	513.75
45.599	513
45.699	512.25
45.799	512.25
45.899	510.75
45.999	510
46.099	509.25
46.199	508.5
46.3	508.5
46.4	507.75
46.5	507
46.6	506.25
46.7	506.25
46.8	504.75
46.9	504
47	503.25
47.1	503.25
47.2	502.5
47.3	501.75
47.4	501.75
47.5	501
47.6	500.25
47.7	499.5
47.8	498
47.9	498
48	497.25
48.1	496.5
48.201	495.75
48.3	495.75
48.402	495
48.5	494.25
48.6	493.5
48.7	493.5
48.8	492
48.9	491.25
49	491.25
49.1	490.5
49.2	489.75
49.3	489
49.4	488.25
49.5	488.25
49.6	487.5
49.7	486.75
49.8	486
49.9	486
50.001	484.5
50.1	483.75
50.2	483.75
50.3	483
50.4	482.25
50.5	481.5
50.6	481.5
50.7	480.75
50.8	480
50.9	479.25
51	479.25
51.099	478.5
51.2	477.75
51.3	477
51.4	477
51.5	476.25
51.6	475.5
51.7	474.75
51.8	474
51.9	474
52	473.25
52.1	472.5
52.2	471.75
52.3	471
52.4	471
52.5	470.25
52.6	469.5
52.7	468.75
52.8	468
52.9	468
53	467.25
53.1	466.5
53.2	465.75
53.3	465.75
53.4	465
53.5	464.25
53.6	463.5
53.7	462.75
53.8	462.75
53.9	462
54	461.25
54.1	460.5
54.2	460.5
54.3	459.75
54.4	459
54.5	458.25
54.6	457.5
54.7	457.5
54.8	456.75
54.9	456
55.001	456
55.1	454.5
55.2	454.5
55.3	453.75
55.4	453
55.5	453
55.6	452.25
55.7	452.25
55.8	451.5
55.9	450.75
56	450
56.1	450
56.2	449.25
56.3	448.5
56.4	447.75
56.5	447
56.599	447
56.699	446.25
56.799	445.5
56.899	444.75
56.999	444.75
57.099	444
57.199	443.25
57.299	443.25
57.399	442.5
57.499	441.75
57.599	441
57.699	441
57.799	440.25
